County,FIPS code,CBSA,State Abbreviation,FEMA region,Population,Cases as a percent of national total - last 7 days,ThisWeekTotal Per100k,LastWeekTotal Per100k,Test Positivity Rate- Last 7 Days,Previous Week Positivity Rate,,,,,,
"St. Joseph County, IN",,,,," 271,826 ",0.1%, 567 , 797 ,17.5%,20.1%,,,,,,
"St. Joseph County, MI",,,,," 60,964 ",0.0%, 422 , 407 ,12.4%,14.6%,,,,,,
"St. Landry Parish, LA",,,,," 82,124 ",0.0%, 496 , 645 ,15.6%,11.9%,,,,,,
"St. Louis City, MO",,,,," 300,576 ",0.1%, 407 , 373 ,16.7%,16.9%,,,,,,
"St. Louis County, MN",,,,," 199,070 ",0.1%, 765 , 741 ,10.4%,13.0%,,,,,,
"St. Louis County, MO",,,,," 994,205 ",0.5%, 512 , 596 ,15.5%,18.4%,,,,,,
"St. Martin Parish, LA",,,,," 53,431 ",0.0%, 298 , 346 ,14.7%,18.1%,,,,,,
"St. Tammany Parish, LA",,,,," 260,419 ",0.1%, 295 , 440 ,9.4%,7.6%,,,,,,
"Stafford County, KS",,,,," 4,156 ",0.0%, 674 , 890 ,29.6%,33.3%,,,,,,
"Stafford County, VA",,,,," 152,882 ",0.0%, 209 , 124 ,6.6%,12.0%,,,,,,
"Stanislaus County, CA",,,,," 550,660 ",0.1%, 268 , 163 ,11.4%,8.3%,,,,,,
"Stanley County, SD",,,,," 3,098 ",0.0%, 484 ," 1,453 ",21.4%,15.8%,,,,,,
"Stanton County, KS",,,,," 2,006 ",0.0%, 648 , 399 ,40.0%,28.6%,,,,,,
"Stanton County, NE",,,,," 5,920 ",0.0%, 355 , 760 ,42.5%,40.4%,,,,,,
"Stark County, IL",,,,," 5,342 ",0.0%," 1,292 ", 580 ,15.4%,5.9%,,,,,,
"Stark County, ND",,,,," 31,489 ",0.0%, 823 ," 1,045 ",8.3%,6.0%,,,,,,
"Stark County, OH",,,,," 370,606 ",0.2%, 580 , 416 ,13.5%,15.1%,,,,,,
"Starke County, IN",,,,," 22,995 ",0.0%, 413 , 548 ,19.2%,20.5%,,,,,,
"Starr County, TX",,,,," 64,633 ",0.0%, 141 , 142 ,16.0%,19.0%,,,,,,
"Staunton City, VA",,,,," 24,932 ",0.0%, 529 , 189 ,4.1%,5.7%,,,,,,
"Ste. Genevieve County, MO",,,,," 17,894 ",0.0%, 654 ," 1,006 ",30.4%,24.4%,,,,,,
"Stearns County, MN",,,,," 161,075 ",0.2%," 1,073 "," 1,290 ",15.0%,20.0%,,,,,,
"Steele County, MN",,,,," 36,649 ",0.0%, 881 ," 1,135 ",17.0%,13.3%,,,,,,
"Steele County, ND",,,,," 1,890 ",0.0%," 1,164 ", 741 ,18.0%,8.1%,,,,,,
"Stephens County, GA",,,,," 25,925 ",0.0%, 293 , 193 ,20.0%,19.3%,,,,,,
"Stephens County, OK",,,,," 43,143 ",0.0%, 644 , 473 ,22.9%,20.7%,,,,,,
"Stephens County, TX",,,,," 9,366 ",0.0%," 1,025 ", 171 ,12.0%,4.0%,,,,,,
"Stephenson County, IL",,,,," 44,498 ",0.0%, 447 , 670 ,16.1%,17.8%,,,,,,
"Sterling County, TX",,,,," 1,291 ",0.0%, 310 , 387 ,36.4%,20.0%,,,,,,
"Steuben County, IN",,,,," 34,594 ",0.0%, 564 , 749 ,19.8%,22.7%,,,,,,
"Stevens County, KS",,,,," 5,485 ",0.0%, 675 ," 1,167 ",55.0%,46.4%,,,,,,
"Stevens County, MN",,,,," 9,805 ",0.0%, 887 ," 1,122 ",9.3%,10.9%,,,,,,
"Stevens County, WA",,,,," 45,723 ",0.0%, 308 , 212 ,20.8%,25.3%,,,,,,
"Stewart County, GA",,,,," 6,621 ",0.0%, 45 , -   ,20.0%,6.7%,,,,,,
"Stewart County, TN",,,,," 13,715 ",0.0%, 401 , 540 ,20.9%,22.3%,,,,,,
"Stillwater County, MT",,,,," 9,642 ",0.0%, 301 , 653 ,10.9%,52.6%,,,,,,
"Stoddard County, MO",,,,," 29,025 ",0.0%, 531 , 820 ,30.7%,35.4%,,,,,,
"Stone County, AR",,,,," 12,506 ",0.0%, 272 , 104 ,10.2%,6.1%,,,,,,
"Stone County, MO",,,,," 31,952 ",0.0%, 304 , 423 ,24.5%,25.9%,,,,,,
"Stone County, MS",,,,," 18,336 ",0.0%, 360 , 393 ,19.8%,9.8%,,,,,,
"Stonewall County, TX",,,,," 1,350 ",0.0%, 74 , 148 ,25.0%,0.0%,,,,,,
"Storey County, NV",,,,," 4,123 ",0.0%, 461 , 97 ,22.4%,31.2%,,,,,,
"Story County, IA",,,,," 97,117 ",0.1%, 598 , 682 ,20.8%,20.6%,,,,,,
"Stutsman County, ND",,,,," 20,704 ",0.0%," 1,352 "," 2,758 ",8.2%,15.5%,,,,,,
"Sublette County, WY",,,,," 9,831 ",0.0%, 610 , 865 ,27.8%,29.1%,,,,,,
"Sullivan County, IN",,,,," 20,669 ",0.0%," 1,122 ", 634 ,27.5%,23.5%,,,,,,
"Sullivan County, MO",,,,," 6,089 ",0.0%, 378 ," 1,002 ",10.3%,41.2%,,,,,,
"Sullivan County, PA",,,,," 6,066 ",0.0%, 297 , 247 ,10.6%,7.0%,,,,,,
"Sullivan County, TN",,,,," 158,348 ",0.1%, 369 , 443 ,34.2%,15.0%,,,,,,
"Sully County, SD",,,,," 1,391 ",0.0%, 503 ," 1,150 ",16.0%,0.0%,,,,,,
"Summit County, CO",,,,," 31,011 ",0.0%, 587 , 509 ,7.5%,10.1%,,,,,,
"Summit County, OH",,,,," 541,013 ",0.2%, 511 , 380 ,18.6%,19.1%,,,,,,
"Summit County, UT",,,,," 42,145 ",0.0%, 358 , 460 ,9.9%,12.0%,,,,,,
"Sumner County, KS",,,,," 22,836 ",0.0%, 508 , 565 ,20.4%,29.0%,,,,,,
"Sumner County, TN",,,,," 191,283 ",0.1%, 476 , 557 ,20.3%,16.1%,,,,,,
"Sumter County, AL",,,,," 12,427 ",0.0%, 137 , 137 ,12.4%,6.2%,,,,,,
"Sumter County, SC",,,,," 106,721 ",0.0%, 115 , 151 ,10.4%,7.5%,,,,,,
"Sunflower County, MS",,,,," 25,110 ",0.0%, 183 , 235 ,17.1%,17.0%,,,,,,
"Surry County, NC",,,,," 71,783 ",0.0%, 288 , 241 ,8.4%,10.1%,,,,,,
"Sutter County, CA",,,,," 96,971 ",0.1%, 716 , 445 ,23.5%,14.8%,,,,,,
"Sutton County, TX",,,,," 3,776 ",0.0%, 609 , 742 ,22.5%,61.5%,,,,,,
"Swain County, NC",,,,," 14,271 ",0.0%, 238 , 196 ,14.3%,16.2%,,,,,,
"Sweet Grass County, MT",,,,," 3,737 ",0.0%, 963 ," 1,231 ",17.3%,16.1%,,,,,,
"Sweetwater County, WY",,,,," 42,343 ",0.0%, 949 , 838 ,18.2%,20.3%,,,,,,
"Swift County, MN",,,,," 9,266 ",0.0%," 1,155 "," 1,122 ",17.8%,19.9%,,,,,,
"Swisher County, TX",,,,," 7,397 ",0.0%, 500 , 284 ,40.6%,41.4%,,,,,,
"Switzerland County, IN",,,,," 10,751 ",0.0%, 260 , 521 ,9.1%,13.9%,,,,,,
"Talladega County, AL",,,,," 79,978 ",0.0%, 166 , 126 ,15.3%,13.9%,,,,,,
"Tallapoosa County, AL",,,,," 40,367 ",0.0%, 69 , 159 ,5.0%,12.1%,,,,,,
"Tama County, IA",,,,," 16,854 ",0.0%, 576 , 825 ,19.9%,30.5%,,,,,,
"Taney County, MO",,,,," 55,928 ",0.0%, 467 , 488 ,24.1%,32.0%,,,,,,
"Tangipahoa Parish, LA",,,,," 134,758 ",0.0%, 283 , 637 ,15.2%,15.5%,,,,,,
"Taos County, NM",,,,," 32,723 ",0.0%, 458 , 465 ,9.3%,12.1%,,,,,,
"Tarrant County, TX",,,,," 2,102,515 ",0.5%, 270 , 424 ,13.9%,17.3%,,,,,,
"Tate County, MS",,,,," 28,321 ",0.0%, 321 , 403 ,13.6%,14.9%,,,,,,
"Taylor County, FL",,,,," 21,569 ",0.0%, 121 , 181 ,10.5%,10.2%,,,,,,
"Taylor County, GA",,,,," 8,020 ",0.0%, 187 , 50 ,22.9%,9.4%,,,,,,
"Taylor County, IA",,,,," 6,121 ",0.0%, 931 , 784 ,24.3%,28.3%,,,,,,
"Taylor County, KY",,,,," 25,769 ",0.0%, 411 , 516 ,22.5%,16.6%,,,,,,
"Taylor County, TX",,,,," 138,034 ",0.0%, 297 , 246 ,9.1%,17.0%,,,,,,
"Taylor County, WI",,,,," 20,343 ",0.0%, 787 ," 1,204 ",18.7%,22.4%,,,,,,
"Taylor County, WV",,,,," 16,695 ",0.0%, 437 , 216 ,10.1%,5.9%,,,,,,
"Tazewell County, IL",,,,," 131,803 ",0.1%, 770 , 832 ,13.4%,20.7%,,,,,,
"Tazewell County, VA",,,,," 40,595 ",0.0%, 377 , 360 ,10.4%,24.7%,,,,,,
"Tehama County, CA",,,,," 65,084 ",0.0%, 329 , 390 ,16.1%,4.5%,,,,,,
"Teller County, CO",,,,," 25,388 ",0.0%, 429 , 378 ,11.6%,11.5%,,,,,,
"Tensas Parish, LA",,,,," 4,334 ",0.0%, 254 , 277 ,30.0%,26.7%,,,,,,
"Terrell County, GA",,,,," 8,531 ",0.0%, 47 , 23 ,10.5%,0.0%,,,,,,
"Terrell County, TX",,,,, 776 ,0.0%," 1,418 ", 387 ,13.3%,50.0%,,,,,,
"Terry County, TX",,,,," 12,337 ",0.0%, 162 , 811 ,19.5%,41.2%,,,,,,
"Teton County, ID",,,,," 12,142 ",0.0%, 560 , 469 ,13.4%,10.0%,,,,,,
"Teton County, MT",,,,," 6,147 ",0.0%, 423 , 325 ,17.9%,12.5%,,,,,,
"Teton County, WY",,,,," 23,464 ",0.0%, 895 ," 1,048 ",13.7%,13.2%,,,,,,
"Texas County, MO",,,,," 25,398 ",0.0%, 217 , 362 ,30.5%,32.2%,,,,,,
"Texas County, OK",,,,," 19,983 ",0.0%, 931 , 676 ,59.4%,23.3%,,,,,,
"Thayer County, NE",,,,," 5,003 ",0.0%, 839 ," 1,419 ",25.2%,45.8%,,,,,,
"Thomas County, GA",,,,," 44,451 ",0.0%, 81 , 72 ,10.9%,8.4%,,,,,,
"Thomas County, KS",,,,," 7,777 ",0.0%, 643 ," 1,042 ",34.0%,33.3%,,,,,,
"Thomas County, NE",,,,, 722 ,0.0%, 416 , 277 ,33.3%,18.2%,,,,,,
"Throckmorton County, TX",,,,," 1,501 ",0.0%, -   , 133 ,0.0%,33.3%,,,,,,
"Thurston County, NE",,,,," 7,224 ",0.0%, 346 , 955 ,18.3%,15.8%,,,,,,
"Tift County, GA",,,,," 40,644 ",0.0%, 315 , 189 ,17.5%,13.0%,,,,,,
"Tillman County, OK",,,,," 7,250 ",0.0%, 745 , 400 ,4.3%,30.0%,,,,,,
"Tioga County, PA",,,,," 40,591 ",0.0%, 544 , 525 ,24.2%,16.9%,,,,,,
"Tippah County, MS",,,,," 22,015 ",0.0%, 241 , 404 ,8.7%,15.8%,,,,,,
"Tippecanoe County, IN",,,,," 195,732 ",0.1%, 618 , 670 ,9.2%,10.8%,,,,,,
"Tipton County, IN",,,,," 15,148 ",0.0%, 607 , 541 ,17.4%,15.6%,,,,,,
"Tipton County, TN",,,,," 61,599 ",0.0%, 474 , 632 ,12.8%,17.8%,,,,,,
"Tishomingo County, MS",,,,," 19,383 ",0.0%, 232 , 382 ,9.9%,12.5%,,,,,,
"Toa Alta, PR",,,,," 74,066 ",0.0%, 201 , 193 ,6.7%,10.4%,,,,,,
"Toa Baja, PR",,,,," 89,609 ",0.0%, 169 , 170 ,4.5%,11.5%,,,,,,
"Todd County, KY",,,,," 12,294 ",0.0%, 342 , 203 ,14.0%,8.8%,,,,,,
"Todd County, MN",,,,," 24,664 ",0.0%, 823 , 928 ,13.1%,14.2%,,,,,,
"Todd County, SD",,,,," 10,177 ",0.0%," 1,228 "," 1,150 ",31.4%,12.5%,,,,,,
"Tom Green County, TX",,,,," 119,200 ",0.0%, 177 , 176 ,14.3%,14.1%,,,,,,
"Tooele County, UT",,,,," 72,259 ",0.0%, 459 , 487 ,16.6%,13.3%,,,,,,
"Toole County, MT",,,,," 4,736 ",0.0%, 190 , 253 ,4.6%,19.2%,,,,,,
"Toombs County, GA",,,,," 26,830 ",0.0%, 104 , 138 ,15.3%,13.7%,,,,,,
"Torrance County, NM",,,,," 15,461 ",0.0%, 446 , 259 ,13.6%,19.1%,,,,,,
"Towner County, ND",,,,," 2,189 ",0.0%, 640 ," 1,096 ",34.5%,29.6%,,,,,,
"Towns County, GA",,,,," 12,037 ",0.0%, 208 , 224 ,13.2%,10.5%,,,,,,
"Traill County, ND",,,,," 8,036 ",0.0%," 1,294 "," 1,294 ",9.6%,10.4%,,,,,,
"Transylvania County, NC",,,,," 34,385 ",0.0%, 131 , 58 ,12.0%,7.7%,,,,,,
"Traverse County, MN",,,,," 3,259 ",0.0%, 921 , 736 ,9.7%,18.7%,,,,,,
"Treasure County, MT",,,,, 696 ,0.0%, -   , 431 ,0.0%,33.3%,,,,,,
"Trego County, KS",,,,," 2,803 ",0.0%, 856 ," 1,320 ",15.4%,4.0%,,,,,,
"Trempealeau County, WI",,,,," 29,649 ",0.0%, 826 ," 1,518 ",17.0%,22.7%,,,,,,
"Treutlen County, GA",,,,," 6,901 ",0.0%, 29 , 116 ,4.2%,25.0%,,,,,,
"Trigg County, KY",,,,," 14,651 ",0.0%, 287 , 259 ,10.5%,11.8%,,,,,,
"Tripp County, SD",,,,," 5,441 ",0.0%," 1,176 "," 1,158 ",26.7%,41.8%,,,,,,
"Troup County, GA",,,,," 69,922 ",0.0%, 76 , 110 ,8.3%,13.4%,,,,,,
"Trousdale County, TN",,,,," 11,284 ",0.0%, 151 , 328 ,17.9%,18.6%,,,,,,
"Trumbull County, OH",,,,," 197,974 ",0.1%, 598 , 472 ,18.4%,17.3%,,,,,,
"Tucker County, WV",,,,," 6,839 ",0.0%, 483 , 175 ,2.8%,1.5%,,,,,,
"Tulare County, CA",,,,," 466,195 ",0.1%, 204 , 183 ,12.1%,5.3%,,,,,,
"Tulsa County, OK",,,,," 651,552 ",0.3%, 529 , 423 ,20.0%,19.3%,,,,,,
"Tunica County, MS",,,,," 9,632 ",0.0%, 166 , 218 ,11.9%,15.3%,,,,,,
"Tuolumne County, CA",,,,," 54,478 ",0.0%, 501 , 477 ,10.6%,0.0%,,,,,,
"Turner County, SD",,,,," 8,384 ",0.0%, 310 , 895 ,22.9%,25.5%,,,,,,
"Tuscaloosa County, AL",,,,," 209,355 ",0.0%, 231 , 215 ,12.2%,11.0%,,,,,,
"Tuscarawas County, OH",,,,," 91,987 ",0.1%, 769 , 647 ,18.1%,10.3%,,,,,,
"Tuscola County, MI",,,,," 52,245 ",0.0%, 492 , 519 ,19.2%,15.8%,,,,,,
"Twiggs County, GA",,,,," 8,120 ",0.0%, 62 , 62 ,16.3%,4.1%,,,,,,
"Twin Falls County, ID",,,,," 86,878 ",0.0%, 498 , 750 ,23.8%,32.5%,,,,,,
"Uinta County, WY",,,,," 20,226 ",0.0%, 672 ," 1,028 ",21.5%,21.7%,,,,,,
"Uintah County, UT",,,,," 35,734 ",0.0%, 372 , 395 ,21.6%,21.8%,,,,,,
"Umatilla County, OR",,,,," 77,950 ",0.0%, 350 , 317 ,12.5%,12.8%,,,,,,
"Unicoi County, TN",,,,," 17,883 ",0.0%, 582 , 559 ,27.8%,22.0%,,,,,,
"Union County, FL",,,,," 15,237 ",0.0%, 112 , 59 ,12.1%,7.5%,,,,,,
"Union County, GA",,,,," 24,511 ",0.0%, 155 , 200 ,14.0%,11.9%,,,,,,
"Union County, IA",,,,," 12,241 ",0.0%, 882 ," 1,234 ",22.3%,29.9%,,,,,,
"Union County, IL",,,,," 16,653 ",0.0%, 510 , 576 ,8.0%,7.7%,,,,,,
"Union County, IN",,,,," 7,054 ",0.0%, 439 , 666 ,18.9%,19.7%,,,,,,
"Union County, KY",,,,," 14,381 ",0.0%, 209 , 452 ,10.9%,24.4%,,,,,,
"Union County, MS",,,,," 28,815 ",0.0%, 302 , 399 ,9.3%,4.0%,,,,,,
"Union County, NJ",,,,," 556,341 ",0.2%, 367 , 375 ,10.1%,11.1%,,,,,,
"Union County, NM",,,,," 4,059 ",0.0%, 591 , 271 ,14.2%,27.3%,,,,,,
"Union County, OH",,,,," 58,988 ",0.0%, 634 , 549 ,17.9%,16.0%,,,,,,
"Union County, OR",,,,," 26,835 ",0.0%, 347 , 253 ,11.0%,16.9%,,,,,,
"Union County, PA",,,,," 44,923 ",0.0%, 910 , 385 ,17.0%,3.5%,,,,,,
"Union County, SC",,,,," 27,316 ",0.0%, 238 , 242 ,19.1%,5.6%,,,,,,
"Union County, SD",,,,," 15,932 ",0.0%, 559 , 948 ,16.0%,24.6%,,,,,,
"Union County, TN",,,,," 19,972 ",0.0%, 230 , 290 ,7.3%,16.1%,,,,,,
"Union Parish, LA",,,,," 22,108 ",0.0%, 317 , 633 ,13.7%,19.2%,,,,,,
"Upshur County, TX",,,,," 41,753 ",0.0%, 36 , 55 ,17.3%,19.2%,,,,,,
"Upshur County, WV",,,,," 24,176 ",0.0%, 298 , 232 ,12.3%,6.2%,,,,,,
"Upson County, GA",,,,," 26,320 ",0.0%, 118 , 110 ,15.7%,11.2%,,,,,,
"Upton County, TX",,,,," 3,657 ",0.0%," 1,094 ", 273 ,23.1%,0.0%,,,,,,
"Utah County, UT",,,,," 636,235 ",0.4%, 659 , 844 ,19.7%,20.8%,,,,,,
"Utuado, PR",,,,," 33,149 ",0.0%, 166 , 118 ,35.7%,5.6%,,,,,,
"Uvalde County, TX",,,,," 26,741 ",0.0%, 280 , 206 ,8.3%,13.8%,,,,,,
"Val Verde County, TX",,,,," 49,025 ",0.0%, -   , 310 ,7.2%,10.5%,,,,,,
"Valencia County, NM",,,,," 76,688 ",0.1%, 875 , 588 ,21.3%,18.6%,,,,,,
"Valley County, ID",,,,," 11,392 ",0.0%, 263 , 219 ,13.7%,11.3%,,,,,,
"Valley County, MT",,,,," 7,396 ",0.0%, 473 , 554 ,13.3%,15.4%,,,,,,
"Valley County, NE",,,,," 4,158 ",0.0%, 457 , 890 ,26.3%,52.4%,,,,,,
"Van Buren County, AR",,,,," 16,545 ",0.0%, 326 , 206 ,6.4%,14.3%,,,,,,
"Van Buren County, IA",,,,," 7,044 ",0.0%, 454 , 596 ,12.2%,19.0%,,,,,,
"Van Buren County, MI",,,,," 75,677 ",0.0%, 581 , 497 ,19.0%,15.6%,,,,,,
"Van Buren County, TN",,,,," 5,872 ",0.0%, 528 , 851 ,11.8%,12.5%,,,,,,
"Van Wert County, OH",,,,," 28,275 ",0.0%, 658 , 764 ,23.0%,28.3%,,,,,,
"Van Zandt County, TX",,,,," 56,590 ",0.0%, 140 , 309 ,18.9%,25.1%,,,,,,
"Vance County, NC",,,,," 44,535 ",0.0%, 386 , 301 ,9.5%,8.5%,,,,,,
"Vanderburgh County, IN",,,,," 181,451 ",0.1%, 592 , 521 ,15.0%,15.3%,,,,,,
"Vega Alta, PR",,,,," 39,951 ",0.0%, 220 , 148 ,12.5%,13.8%,,,,,,
"Vega Baja, PR",,,,," 59,662 ",0.0%, 245 , 198 ,7.1%,11.5%,,,,,,
"Venango County, PA",,,,," 50,668 ",0.0%, 411 , 310 ,8.7%,7.2%,,,,,,
"Vermilion County, IL",,,,," 75,758 ",0.1%, 685 , 648 ,15.0%,13.8%,,,,,,
"Vermilion Parish, LA",,,,," 59,511 ",0.0%, 297 , 291 ,11.5%,9.4%,,,,,,
"Vermillion County, IN",,,,," 15,498 ",0.0%, 794 , 613 ,16.4%,18.5%,,,,,,
"Vernon County, MO",,,,," 20,563 ",0.0%, 302 , 379 ,21.6%,26.9%,,,,,,
"Vernon County, WI",,,,," 30,822 ",0.0%, 509 , 516 ,10.0%,13.4%,,,,,,
"Vernon Parish, LA",,,,," 47,429 ",0.0%, 207 , 226 ,14.9%,10.0%,,,,,,
"Victoria County, TX",,,,," 92,084 ",0.0%, 177 , 226 ,19.4%,18.9%,,,,,,
"Vigo County, IN",,,,," 107,038 ",0.1%, 781 , 931 ,16.1%,22.2%,,,,,,
"Vilas County, WI",,,,," 22,195 ",0.0%, 622 , 721 ,21.5%,27.9%,,,,,,
"Villalba, PR",,,,," 26,073 ",0.0%, 161 , 253 ,10.8%,12.6%,,,,,,
"Vinton County, OH",,,,," 13,085 ",0.0%, 252 , 107 ,4.9%,20.0%,,,,,,
"Wabash County, IL",,,,," 11,520 ",0.0%, 720 , 443 ,6.0%,5.7%,,,,,,
"Wabash County, IN",,,,," 30,996 ",0.0%," 1,087 "," 1,045 ",18.0%,13.7%,,,,,,
"Wabasha County, MN",,,,," 21,627 ",0.0%, 777 , 999 ,11.1%,12.7%,,,,,,
"Wabaunsee County, KS",,,,," 6,931 ",0.0%, 303 ," 1,270 ",28.6%,43.4%,,,,,,
"Wadena County, MN",,,,," 13,682 ",0.0%, 884 , 972 ,13.7%,19.8%,,,,,,
"Wagoner County, OK",,,,," 81,289 ",0.0%, 352 , 242 ,20.0%,23.2%,,,,,,
"Wahkiakum County, WA",,,,," 4,488 ",0.0%, 423 , 22 ,10.5%,0.0%,,,,,,
"Walker County, GA",,,,," 69,761 ",0.0%, 228 , 226 ,15.9%,8.6%,,,,,,
"Walker County, TX",,,,," 72,971 ",0.0%, -   , 195 ,7.7%,13.8%,,,,,,
"Walla Walla County, WA",,,,," 60,760 ",0.0%, 459 , 477 ,13.7%,14.0%,,,,,,
"Wallace County, KS",,,,," 1,518 ",0.0%, 198 ," 1,383 ",25.0%,20.0%,,,,,,
"Walsh County, ND",,,,," 10,641 ",0.0%," 1,024 "," 2,349 ",22.4%,22.0%,,,,,,
"Walthall County, MS",,,,," 14,286 ",0.0%, 238 , 266 ,13.4%,19.0%,,,,,,
"Walton County, FL",,,,," 74,071 ",0.0%, 250 , 302 ,12.2%,13.0%,,,,,,
"Walton County, GA",,,,," 94,593 ",0.0%, 175 , 121 ,15.8%,9.0%,,,,,,
"Walworth County, SD",,,,," 5,435 ",0.0%, 828 ," 1,030 ",30.4%,28.6%,,,,,,
"Walworth County, WI",,,,," 103,868 ",0.1%, 562 , 881 ,18.1%,19.3%,,,,,,
"Wapello County, IA",,,,," 34,969 ",0.0%, 538 , 758 ,19.2%,27.1%,,,,,,
"Ward County, ND",,,,," 67,641 ",0.1%, 844 ," 1,768 ",22.2%,21.1%,,,,,,
"Ward County, TX",,,,," 11,998 ",0.0%, 892 , 792 ,18.4%,18.6%,,,,,,
"Warren County, IA",,,,," 51,466 ",0.0%, 614 , 861 ,13.8%,18.1%,,,,,,
"Warren County, IL",,,,," 16,844 ",0.0%, 796 , 801 ,18.4%,19.3%,,,,,,
"Warren County, IN",,,,," 8,265 ",0.0%, 411 , 508 ,24.6%,21.9%,,,,,,
"Warren County, KY",,,,," 132,896 ",0.0%, 382 , 286 ,12.8%,11.0%,,,,,,
"Warren County, MO",,,,," 35,649 ",0.0%, 393 , 519 ,24.2%,28.5%,,,,,,
"Warren County, OH",,,,," 234,602 ",0.1%, 587 , 472 ,17.3%,21.4%,,,,,,
"Warren County, PA",,,,," 39,191 ",0.0%, 245 , 79 ,13.7%,11.6%,,,,,,
"Warren County, TN",,,,," 41,277 ",0.0%, 414 , 683 ,7.1%,16.4%,,,,,,
"Warrick County, IN",,,,," 62,998 ",0.0%, 567 , 516 ,14.8%,16.8%,,,,,,
"Wasatch County, UT",,,,," 34,091 ",0.0%, 836 , 830 ,25.8%,21.4%,,,,,,
"Waseca County, MN",,,,," 18,612 ",0.0%, 666 , 849 ,14.0%,13.8%,,,,,,
"Washakie County, WY",,,,," 7,805 ",0.0%," 1,537 ", 820 ,14.6%,7.6%,,,,,,
"Washburn County, WI",,,,," 15,720 ",0.0%, 782 , 961 ,14.9%,17.1%,,,,,,
"Washington County, AR",,,,," 239,187 ",0.1%, 393 , 444 ,8.0%,9.6%,,,,,,
"Washington County, CO",,,,," 4,908 ",0.0%, 632 , 693 ,16.6%,26.8%,,,,,,
"Washington County, FL",,,,," 25,473 ",0.0%, 247 , 389 ,11.5%,8.5%,,,,,,
"Washington County, GA",,,,," 20,374 ",0.0%, 137 , 88 ,16.8%,10.9%,,,,,,
"Washington County, IA",,,,," 21,965 ",0.0%, 674 , 897 ,12.3%,20.7%,,,,,,
"Washington County, ID",,,,," 10,194 ",0.0%, 834 , 687 ,30.2%,36.3%,,,,,,
"Washington County, IL",,,,," 13,887 ",0.0%, 828 , 648 ,24.2%,23.8%,,,,,,
"Washington County, IN",,,,," 28,036 ",0.0%, 539 , 350 ,21.1%,11.9%,,,,,,
"Washington County, KS",,,,," 5,406 ",0.0%, 999 ," 1,702 ",43.5%,28.6%,,,,,,
"Washington County, KY",,,,," 12,095 ",0.0%, 570 , 504 ,18.7%,9.1%,,,,,,
"Washington County, MD",,,,," 151,049 ",0.1%, 402 , 306 ,9.2%,11.1%,,,,,,
"Washington County, MN",,,,," 262,440 ",0.1%, 566 , 806 ,11.0%,14.9%,,,,,,
"Washington County, MO",,,,," 24,730 ",0.0%, 453 , 857 ,32.7%,31.6%,,,,,,
"Washington County, MS",,,,," 43,909 ",0.0%, 330 , 285 ,29.6%,8.3%,,,,,,
"Washington County, NE",,,,," 20,729 ",0.0%, 864 , 892 ,27.8%,30.5%,,,,,,
"Washington County, OH",,,,," 59,911 ",0.0%, 459 , 374 ,19.3%,14.6%,,,,,,
"Washington County, OK",,,,," 51,527 ",0.0%, 505 , 274 ,15.8%,18.4%,,,,,,
"Washington County, OR",,,,," 601,592 ",0.1%, 241 , 164 ,11.2%,11.3%,,,,,,
"Washington County, PA",,,,," 206,865 ",0.1%, 386 , 313 ,11.8%,11.3%,,,,,,
"Washington County, TN",,,,," 129,375 ",0.1%, 452 , 434 ,25.0%,18.8%,,,,,,
"Washington County, TX",,,,," 35,882 ",0.0%, 120 , 215 ,8.1%,10.1%,,,,,,
"Washington County, UT",,,,," 177,556 ",0.1%, 474 , 693 ,27.3%,23.5%,,,,,,
"Washington County, VA",,,,," 53,740 ",0.0%, 303 , 292 ,10.1%,22.5%,,,,,,
"Washington County, VT",,,,," 58,409 ",0.0%, 187 , 378 ,3.1%,6.6%,,,,,,
"Washington County, WI",,,,," 136,034 ",0.1%, 659 , 948 ,13.2%,15.5%,,,,,,
"Washington Parish, LA",,,,," 46,194 ",0.0%, 247 , 643 ,10.3%,7.1%,,,,,,
"Washita County, OK",,,,," 10,916 ",0.0%, 879 , 504 ,21.7%,23.8%,,,,,,
"Washoe County, NV",,,,," 471,519 ",0.3%, 789 , 564 ,20.7%,19.2%,,,,,,
"Watonwan County, MN",,,,," 10,897 ",0.0%, 725 , 771 ,17.8%,19.9%,,,,,,
"Waukesha County, WI",,,,," 404,198 ",0.2%, 540 ," 1,212 ",16.8%,23.7%,,,,,,
"Waupaca County, WI",,,,," 50,990 ",0.0%, 392 , 688 ,11.1%,13.5%,,,,,,
"Waushara County, WI",,,,," 24,443 ",0.0%, 319 , 585 ,9.1%,10.1%,,,,,,
"Wayne County, GA",,,,," 29,927 ",0.0%, 331 , 124 ,20.5%,11.7%,,,,,,
"Wayne County, IA",,,,," 6,441 ",0.0%, 233 , 450 ,22.1%,15.8%,,,,,,
"Wayne County, IL",,,,," 16,215 ",0.0%, 586 , 481 ,16.6%,10.9%,,,,,,
"Wayne County, IN",,,,," 65,884 ",0.0%, 716 , 651 ,14.1%,14.7%,,,,,,
"Wayne County, KY",,,,," 20,333 ",0.0%, 448 , 330 ,7.2%,23.5%,,,,,,
"Wayne County, MI",,,,," 1,749,343 ",0.6%, 372 , 318 ,12.7%,12.1%,,,,,,
